rank,candidate_name,district,district_id,category,latitude,longitude,canonical_slug,nearest_existing_place,min_haversine_km,overlap_classification,why_it_adds_value,primary_authoritative_source,primary_source_url,secondary_source,secondary_source_url,evidence_confidence,recommended_priority,notes_risks
1,Kahalgaon Rock-Cut Temples,Bhagalpur,5,historical,25.2689,87.2345,kahalgaon-rock-cut-temples-bhagalpur,Bateshwar Sthan & Patharghata Caves,8.13,Genuinely separate destination (>8 km from nearest active place; granite island rock-cut monuments in Ganga riverbed),"Centrally Protected Monument under ASI ('Rock Temple, Colgong'). Monolithic 7th–8th century rock-cut boulder temples and reliefs carved into granite islands situated directly in the bed of River Ganga.",Archaeological Survey of India (ASI Patna Circle),https://asipatnacircle.gov.in/,District Administration Bhagalpur (NIC Portal),https://bhagalpur.nic.in/tourist-places/,A,P0,Ancient river island setting requires boat access in dry months; centrally protected by ASI with zero boundary ambiguity.
2,Vishwa Shanti Stupa & Ratnagiri Ropeway,Nalanda,3,cultural,25.0085,85.4385,vishwa-shanti-stupa-and-ratnagiri-ropeway-nalanda,Rajgir (Rajagriha),2.87,Legitimate companion destination (2.87 km SE of Rajgir valley; independent hilltop pagoda reached via distinct BSTDC chairlift ropeway infrastructure),"Iconic 125-foot white marble World Peace Pagoda atop Ratnagiri Hill, accessed via Bihar's famous aerial chairlift ropeway operated by BSTDC. Consecrated in 1969 by Nichidatsu Fujii; global Buddhist landmark.","Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Nalanda (NIC Portal),https://nalanda.nic.in/tourist-places/,A,P0,Situated 2.87 km from Rajgir town center marker; treated as a dedicated half-day excursion with separate BSTDC ropeway ticketing.
3,Shringirishi Dham,Lakhisarai,26,nature,25.1278,86.2344,shringirishi-dham-lakhisarai,"Kali Mandir, Malaypur",17.49,Genuinely separate destination (>17 km from nearest active place; pristine nature valley in Kharagpur hills),"Enchanting scenic valley in Kharagpur hills with natural perennial waterfalls, Sita Kund hot water springs, reservoir dam, and Ramayana Putrakameshti Yajna Sage Shringi lore. Gives Lakhisarai its 2nd active destination.",District Administration Lakhisarai (NIC Portal),https://lakhisarai.nic.in/tourist-places/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P1,Pristine nature destination in Suryagarha block; popular for Makar Sankranti and New Year eco-picnics; daytime visits recommended.
4,Girihinda Pahar & Shiv Temple,Sheikhpura,32,mountain,25.1385,85.8562,girihinda-pahar-and-shiv-temple-sheikhpura,"Sri Vishnu Dham, Samas",14.39,Genuinely separate destination (>14 km from nearest active place; rocky granite inselberg),"Standalone 500-foot rocky granite hill rising above Sheikhpura town with 360-degree plains panorama, rock steps, children's park, and ancient Baba Kameshwar Nath Shiva shrine. Adds the rare 'mountain' category and gives Sheikhpura its 2nd destination.",District Administration Sheikhpura (NIC Portal),https://sheikhpura.nic.in/tourist-places/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P1,Well-developed access with both motorable road and foot stairs; prominent landmark visible across the district.
5,Matsyagandha Lake & Raktakali Temple,Saharsa,29,lake,25.8825,86.5985,matsyagandha-lake-and-raktakali-temple-saharsa,"Shri Ugratara Sthan, Mahishi",15.74,Genuinely separate destination (>15 km from nearest active place; urban wetland & Tantric architectural complex),"Expansive 80-acre lake complex developed under Jal-Jeevan-Hariyali mission featuring boating, landscaped promenades, and a unique oval-shaped 64-Yogini (Chausath Yogini) Raktakali Temple with engraved stone reliefs. Gives Saharsa its 2nd destination.",District Administration Saharsa (NIC Portal),https://saharsa.nic.in/tourist-places/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P1,Key recreational hub of Saharsa town; active boating facilities; high festive attendance during Diwali and Chhath.
6,Kajha Kothi Eco Park,Purnia,28,nature,25.7185,87.3512,kajha-kothi-eco-park-purnia,Jalalgarh Fort,31.44,Genuinely separate destination (>31 km from nearest active place; colonial heritage estate & eco-wetland),"Historic 1775 British-era indigo plantation bungalow estate on the Kajri river, developed into an eco-tourism lake park with pedal boating, gardens, and picnic grounds (Shastri Park). Gives Purnia its 2nd destination.",District Administration Purnia (NIC Portal),https://purnea.nic.in/tourist-places/,"Department of Environment, Forest and Climate Change, Bihar",https://forest.bihar.gov.in/,A,P1,Located 12 km from Purnia district headquarters; popular family picnic spot; named after former Bihar CM Bhola Paswan Shastri.
7,"Guru Tegh Bahadur Historic Gurdwara, Lakshmipur",Katihar,23,cultural,25.3912,87.2812,guru-tegh-bahadur-historic-gurdwara-lakshmipur-katihar,Bateshwar Sthan & Patharghata Caves,6.43,Genuinely separate destination (>6 km across river Ganga/Kosi; distinct Sikh pilgrimage site),Key destination on Bihar Tourism's official Sikh Circuit. Commemorates the 1670 visit of 9th Sikh Guru Sri Guru Tegh Bahadur Ji at historic Kantanagar; preserves original 17th-century Hukumnamas and handwritten Guru Granth Sahib. Gives Katihar its 2nd destination.,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Katihar (NIC Portal),https://katihar.nic.in/tourist-places/,A,P1,Separated from Bhagalpur bank by river corridor; authentic 17th-century relics preserved with active community reverence.
8,Dighwa Dubauli Archaeological Mounds,Gopalganj,19,historical,26.2485,84.7312,dighwa-dubauli-archaeological-mounds-gopalganj,Kesariya Stupa,15.18,Genuinely separate destination (>15 km from nearest active place; ancient fortified pyramidal earthworks),Remarkable pyramidal star-shaped earthen mounds attributed to ancient Chero rulers; famous site of the 761–762 AD Dighwa-Dubauli copper plate inscription of King Mahendrapala I. Gives Gopalganj its 2nd destination.,District Administration Gopalganj (NIC Portal),https://gopalganj.nic.in/tourist-places/,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,A,P1,Located in Baikunthpur block; direct rail access via Dighwa Dubauli station; prominent pre-medieval archaeological site.
9,Champanagar Ancient Capital & Jain Tirth,Bhagalpur,5,cultural,25.2312,86.9245,champanagar-ancient-capital-and-jain-tirth-bhagalpur,Vikramshila Gangetic Dolphin Sanctuary,11.82,Genuinely separate destination (>11 km from nearest active place; ancient fortified capital & Jain pilgrimage complex),Ancient fortified capital of Anga Mahajanapada (Champa / Karna Garh) and supreme Jain Panch Kalyanaka kshetra where 12th Tirthankara Bhagwan Vasupujya was born and attained all five spiritual milestones.,"Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Bhagalpur (NIC Portal),https://bhagalpur.nic.in/tourist-places/,A,P0,Verified Rank 21 from Phase 6 Top 30 audit; located in Nathnagar western Bhagalpur; active Jain pilgrim infrastructure.
10,Deokund,Aurangabad,13,temple,24.9512,84.5829,deokund-aurangabad,Daud Khan Fort,20.26,Genuinely separate destination (>20 km from nearest active place; rural pilgrimage & spring complex),"Ancient Shaivite pilgrimage center housing the Baba Dudheshwar Nath Shiva temple, sacred perennial kund/spring, and hermitage traditions of Sage Chyavana. Major Mahashivratri gathering.","Bihar Tourism (Department of Tourism, Govt of Bihar)",https://tourism.bihar.gov.in/en/destinations,District Administration Aurangabad (NIC Portal),https://aurangabad.nic.in/tourist-place/deokund/,A,P0,Verified Rank 27 from Phase 6 Top 30 audit; located in Goh block on border with Arwal; major annual fair organized under district patronage.
