candidate_name,district,category,candidate_lat,candidate_lng,nearest_existing_place_id,nearest_existing_place_name,min_haversine_distance_km,exact_name_match,case_insensitive_match,slug_collision,same_complex_site,overlap_classification,audit_verdict,audit_notes
Bhitiharwa Gandhi Ashram,West Champaran,historical,27.2437,84.4838,149,Rampurva Ashokan Pillars,3.25,NO,NO,NO,NO,Legitimate separate destination (3.25 km from active ID 149 'Rampurva Ashokan Pillars'; distinct historical/cultural identity),APPROVAL-READY,"Historic ashram and basic school founded on 20 November 1917 by Mahatma Gandhi during the historic Champaran Satyagraha. Preserves the original Kasturba Gandhi Vidyalaya hut, the historical school bell rung by Bapu, prayer grounds, and an extensive museum of freedom movement artifacts."
"Baba Mahendra Nath Temple, Mehdar",Siwan,temple,25.987,84.438,135,Zeeradei (Dr. Rajendra Prasad Ancestral House),33.4,NO,NO,NO,NO,Clearly separate destination (33.40 km from active ID 135 'Zeeradei (Dr. Rajendra Prasad Ancestral House)'; distinct regional landmark),APPROVAL-READY,Monumental 17th-century Shaivite pilgrimage complex constructed by King Mahendra Bir Bikram Shah of Nepal on the banks of the expansive 55-acre Kamaldah Lake (Sarovar) famed for water lilies. Official venue of the annual state-sponsored Mehdar Mahotsav; gives Siwan its 2nd active destination.
Jaimangla Garh,Begusarai,historical,25.5921,86.1613,20,Kanwar Lake Bird Sanctuary,6.54,NO,NO,NO,NO,Genuinely separate destination (6.54 km from active ID 20 'Kanwar Lake Bird Sanctuary'; distinct archaeological/topographical identity),APPROVAL-READY,"Ancient fortified island promontory on the southern fringe of Kabartal / Kanwar Lake, excavated by State Archaeology and ASI yielding black stone Pala-era sculptures and antiquities. Houses the sacred 9th–10th century Chandi Mangla Devi Shaktipeeth temple; gives Begusarai its 3rd active destination."
Ramrekha Ghat,Buxar,cultural,25.5761,83.9711,23,Battle of Buxar Memorial,1.73,NO,NO,NO,NO,Legitimate companion destination (1.73 km from active ID 23 'Battle of Buxar Memorial'; distinct visitor identity),APPROVAL-READY,"Prime sacred Ganga riverfront ghat of Buxar where Lord Rama crossed the Ganga with Sage Vishwamitra. Enhanced with a major ₹13.24 Cr Bihar Tourism riverfront development, Ganga Aarti pavilion, steps, and promenade; host of the annual Panchkosi Parikrama mela and daily evening Maha Aarti. Gives Buxar cultural diversity beyond battlefields."
Aganoor Mini Hydroelectric Project,Arwal,tourist_spot,25.1328,84.5385,152,Daud Khan Fort,17.74,NO,NO,NO,NO,Clearly separate destination (17.74 km from active ID 152 'Daud Khan Fort'; distinct regional landmark),APPROVAL-READY,"Scenic barrage, mini hydel power station, and canal waterfalls on the Sone River canal network at Aganoor in Kaler block. Highly popular regional picnic spot, eco-leisure destination, and engineering marvel; gives Arwal its 2nd active destination."
Raja Bali Ka Garh,Madhubani,historical,26.4595,86.323,154,Rajnagar Palace Complex,18.96,NO,NO,NO,NO,Clearly separate destination (18.96 km from active ID 154 'Rajnagar Palace Complex'; distinct regional landmark),APPROVAL-READY,"Centrally Protected Monument of National Importance under ASI (declared 1938). Sprawling 176-acre fortified ancient city at Balirajgarh (Babubarhi block) with massive brick ramparts up to 40 ft high, representing ancient Videha Kingdom urban settlement spanning NBPW, Sunga, Kushan, Gupta, and Pala eras. Gives Madhubani an archaeological marvel."
Dr. Rajendra Prasad Central Agricultural University,Samastipur,historical,25.986,85.6754,168,Sujani Embroidery Craft Cluster,26.71,NO,NO,NO,NO,Clearly separate destination (26.71 km from active ID 168 'Sujani Embroidery Craft Cluster'; distinct regional landmark),APPROVAL-READY,"Birthplace of modern agricultural science in India, founded in 1905 by Lord Curzon with grant from Henry Phipps as the Imperial Agricultural Research Institute. Sprawling heritage campus featuring grand colonial architecture, historic Curzon Ground, botanical gardens, and agricultural museum. Gives Samastipur its 2nd active destination."
"Baba Vishu Raut Temple, Pachrasi Dham",Madhepura,cultural,25.445,87.025,118,Vikramshila Gangetic Dolphin Sanctuary,17.11,NO,NO,NO,NO,Clearly separate destination (17.11 km from active ID 118 'Vikramshila Gangetic Dolphin Sanctuary'; distinct regional landmark),APPROVAL-READY,"Revered 300-year-old pastoral folk hero memorial and temple in Chausa block, honoring Baba Vishu Raut who defended cattle herds from wild predators. Site of an official government-recognized Rajkiya Mela every April where thousands of herders offer flowing milk in a unique ritual; gives Madhepura its 2nd active destination."
"Kanhaiya Ji Mandir, Bandarjhula",Kishanganj,historical,26.3683,87.9636,126,Kishanganj Tea Gardens,18.34,NO,NO,NO,NO,Clearly separate destination (18.34 km from active ID 126 'Kishanganj Tea Gardens'; distinct regional landmark),APPROVAL-READY,"Centrally Protected Monument of National Importance under ASI ('Kanhaiya ji ka mandir'). Archaeological mound near the Indo-Nepal border in Thakurganj block, housing an exquisite 8th–9th century full-size black basalt statue of Lord Vishnu/Krishna and ancient structural ruins. Gives Kishanganj its 2nd active destination."
"Gautam Asthan, Revelganj",Saran,cultural,25.7812,84.6712,148,Chirand Archaeological Site,16.08,NO,NO,NO,NO,Clearly separate destination (16.08 km from active ID 148 'Chirand Archaeological Site'; distinct regional landmark),APPROVAL-READY,"Sacred hermitage on the holy Saryu (Ghaghara) riverbank 8 km west of Chhapra, officially recognized on Bihar Tourism's Ramayana Circuit. Commemorates Sage Maharshi Gautama and the sacred Ahilya Uddhar sthal described in Valmiki Ramayana, featuring ancient temple, river ghat, and annual Kartik Purnima fair. Gives Saran its 3rd active destination."
