rank,candidate_name,district,district_id,category,latitude,longitude,canonical_slug,nearest_existing_place,min_haversine_km,overlap_classification,tourism_value,why_it_adds_new_value,primary_source,secondary_source,evidence_confidence,recommended_priority,risk_notes
1,Ara House,Bhojpur,16,historical,25.5539,84.668,ara-house-bhojpur,Aranya Devi Temple (Bhojpur),0.88,SAME SITE / SEVERE OVERLAP,Historic 1857 uprising fortification where 68 defenders endured the week-long Siege of Arrah by Babu Veer Kunwar Singh; two-storeyed defensive structure on a raised plinth with original embrasures.,Adds premier 1857 Indian Mutiny military history to Bhojpur; offers an extraordinary counterpoint to Veer Kunwar Singh Fort in Jagdishpur and expands modern historical heritage in central Bihar.,"bihar.gov.in (Heritage Site: Ara House, Maharaja College Arrah)",bhojpur.nic.in / Veer Kunwar Singh University & District Administration Archives,HIGH (Grade A),P1,Located 0.88 km south of Aranya Devi Temple in Maharaja College campus; distinct historical military structure vs. ancient religious shrine. Approved with Special Scrutiny justification.
2,"Ahilya Sthan, Ahiyari",Darbhanga,18,cultural,26.2917,85.8015,ahilya-sthan-ahiyari-darbhanga,Darbhanga Raj (Laxmi Vilas Palace) (Darbhanga),18.21,DISTINCT DESTINATION,Ancient Ramayana circuit heritage shrine in Ahiyari village marking the spot of Devi Ahilya’s deliverance by Lord Rama; celebrated venue of massive Ram Navami gatherings and cultural fairs.,"Brings authentic epic Ramayana heritage to Darbhanga; situated 18.2 km northwest of Darbhanga Raj Palace, providing critical rural tourism spread in Jale block.","darbhanga.nic.in (Places of Interest: Ahilya Sthan, Ahiyari)",tourism.bihar.gov.in (Ramayan Circuit: Ahilya Sthan),HIGH (Grade A),P1,Distinct from Ahirauli in Buxar; this is the primary Darbhanga Ahilya Sthan in Ahiyari village near Kamtaul. Fully verified on district portal.
3,Baba Garibnath Temple,Muzaffarpur,7,temple,26.1205,85.3912,baba-garibnath-temple-muzaffarpur,Litchi Gardens & Jubba Sahni Park (Muzaffarpur),2.65,NEARBY BUT DISTINCT,"Celebrated as the ""Deoghar of North Bihar""; historic 300-year-old Shiva pilgrimage center and primary terminus for millions of Kanwariya pilgrims performing Jalabhishek during Shravan.",Fills a major spiritual pilgrimage void in Muzaffarpur district; actively backed by Bihar State Tourism Development Corporation (BSTDC) corridor project.,tourism.bihar.gov.in (Baba Garibnath Temple & BSTDC Corridor Project),muzaffarpur.nic.in (Places of Interest: Baba Garibnath Mandir),HIGH (Grade A),P1,Located 2.65 km from Jubba Sahni Park in urban Muzaffarpur; distinct spiritual temple typology vs municipal park. Approved with Special Scrutiny justification.
4,"Surya Mandir, Kandaha",Saharsa,29,historical,25.882,86.467,surya-mandir-kandaha-saharsa,"Shri Ugratara Sthan, Mahishi (Saharsa)",2.58,NEARBY BUT DISTINCT,"Rare medieval Sun temple housing an exquisitely carved granite idol of Lord Surya on a seven-horse chariot, bearing an authentic 14th-century Sanskrit inscription of Oinwar King Narasimha Deva.",Adds exceptional archaeological and epigraphic depth to Saharsa; recognized by the Archaeological Survey of India (ASI) and featured as a primary heritage destination on district portal.,"saharsa.nic.in (Places of Interest: Surya Mandir, Kandaha)",Archaeological Survey of India (ASI) / bihar.gov.in,HIGH (Grade A),P1,Located 2.58 km from Ugratara Sthan in distinct Kandaha village/Pastwar panchayat; forms ideal archaeological-spiritual circuit in western Saharsa. Approved with Special Scrutiny.
5,Mata Puran Devi Temple,Purnia,28,cultural,25.7725,87.458,mata-puran-devi-temple-purnia,Kajha Kothi Eco Park (Purnia),12.27,DISTINCT DESTINATION,"Ancient titular temple dedicated to Goddess Puran Devi, universally acknowledged as the eponym from which the historic district and city of Purnia derives its name.",Provides essential cultural identity and origin heritage to Purnia district; currently supported by active Bihar Tourism infrastructure redevelopment.,purnea.nic.in (Tourist Places: Puran Devi Mandir),bihar.gov.in / BSTDC Tourist Facility Development Scheme,HIGH (Grade A),P1,Located 5 km from Purnea city center; 12.27 km from Kajha Kothi. Zero overlap with existing inventory.
6,"Baba Brahmeshwar Nath Temple, Brahmpur",Buxar,17,temple,25.5992,84.2882,baba-brahmeshwar-nath-temple-brahmpur-buxar,"Veer Kunwar Singh Fort, Jagdishpur (Bhojpur)",19.58,DISTINCT DESTINATION,"Ancient west-facing swayambhu Shiva temple reverently known as ""Mini Kashi"" of Shahabad; host of the historic annual Brahmpur cattle fair and major Shaivite pilgrimage destination.","Anchors eastern Buxar’s pilgrimage corridor along the NH-922 / Bhojpur border; situated 32.5 km east of Buxar town, expanding district coverage beyond the municipal center.","tourism.bihar.gov.in (Brahmeshwar Nath Temple, Brahmapur)",buxar.nic.in (Tourist Places: Brahmeshwar Nath Mandir),HIGH (Grade A),P1,High seasonal pilgrim traffic during Mahashivratri and Sawan. Established road connectivity from Ara and Buxar.
7,Gunawa Ji (Jain Tirth),Nawada,38,cultural,24.8944,85.5312,gunawa-ji-jain-tirth-nawada,Ghora Katora Lake Eco-Reserve (Nalanda),11.98,DISTINCT DESTINATION,"Picturesque Jain Jal Mandir constructed in the center of an expansive lotus pond; sacred site where Indrabhuti Gautama Swami, the foremost Ganadhara of Lord Mahavira, attained Kevala Jnana.",Expands Bihar’s renowned Jain pilgrimage circuit into Nawada district; beautifully complements Pawapuri Jal Mandir and Kakolat Waterfall.,"tourism.bihar.gov.in (Jain Circuit: Gunawa Ji Tirth, Nawada)",nawada.nic.in (Places of Interest: Gunawa/Gunnawan Jain Mandir),HIGH (Grade A),P1,Located 3 km from Nawada town on the Patna-Ranchi Highway; peaceful water temple complex with dharmashala facilities.
8,"Ambika Sthan, Aami",Saran,31,cultural,25.6881,85.0062,ambika-sthan-aami-saran,Maner Sharif (Patna),12.94,DISTINCT DESTINATION,Ancient Shaktipeeth fort-mound temple complex perched on the northern cliff of the Ganga at Dighwara; mythologically linked to Daksha’s Yajna and the sacred clay pindi of Maa Ambika.,"Brings sacred riverfront Shaktipeeth heritage to Saran district; situated 34.8 km east of Gautam Asthan and 22 km west of Sonepur, linking the Chhapra-Patna corridor.","tourism.bihar.gov.in (Ambika Sthan, Aami, Dighwara)","saran.nic.in (Tourist Places: Maa Ambika Bhawani, Aami)",HIGH (Grade A),P1,Historic elevated mound structure overlooking the Ganga floodplain; substantial Navratri congregations.
9,Lakri Dargah,Gopalganj,19,cultural,26.315,84.472,lakri-dargah-gopalganj,Thawe Mandir (Gopalganj),15.92,DISTINCT DESTINATION,"Historic 16th-century Sufi pilgrimage shrine and mausoleum of saint Shah Arzan, richly endowed by Mughal Emperor Aurangzeb; renowned for its antique wood craftsmanship and annual Urs fair.",Enriches Gopalganj’s tourism profile beyond temple sites (Thawe) and prehistoric mounds (Dighwa Dubauli) by adding prominent Sufi architecture and syncretic cultural heritage.,gopalganj.nic.in (Places of Interest: Lakri Dargah),bihar.gov.in / Bihar State Sunni Waqf Board / Imperial Gazetteer records,HIGH (Grade A),P1,Located in Barharia/Manjha block; 15.92 km from Thawe Mandir. Stable rural road access.
10,"Baba Tileshwar Nath Mandir, Sukhpur",Supaul,36,temple,26.062,86.608,baba-tileshwar-nath-mandir-sukhpur-supaul,Matsyagandha Lake & Raktakali Temple (Saharsa),19.98,DISTINCT DESTINATION,"Ancient, venerated Swayambhu Shivalinga temple located in Sukhpur Solhani; celebrated as the primary traditional spiritual pilgrimage center of the lower Kosi basin.","Provides indispensable second destination depth to Supaul district (which currently has only 1 active destination, Kosi Barrage); supported by district administration tourism initiatives.",supaul.nic.in (Places of Interest: Tileshwar Mandir / Baba Tileshwar Nath),bihar.gov.in / Supaul District Administration development projects,HIGH (Grade A),P1,Located 10 km south of Supaul headquarters; 54 km south of Kosi Barrage (Birpur). Zero collision risk.
